Mineral_name,Formula,Reference
Kochkarite,Bi₃ Te₅.₂₅ Pb.₇₅,"Talybov A. G., Vainshtein B. K., An electron diffraction study of the structure of PbBi4Te7 Loality: synthetic, Soviet Physics Crystallography, 6, 432–438 (1962)."
Tanteuxenite-(Lu),Lu (Ti Ta) O₆,"Thorogood G. J., Avdeev M., Kennedy B. J., Structural studies of the aeschynite-euxenite transformation in the series Ln(TiTa)O6 Ln = lanthanide, Solid State Sciences, 12, 1263–1269 (2010)."
Thorikosite,(Pb₁.₅ Sb.₃ As.₂) O₂ Cl H.₅,"Rouse R. C., Dunn P. J., The structure of thorisokite, a naturally occurring member of the bismuth oxyhalide group, Journal of Solid State Chemistry, 57, 389–395 (1985)."
Langisite,Co (As.₉₅ Sb.₀₅),"Fjellvag H., Selte K., Stave F. E., On the structural and magnetic properties of Co1-tNitAs and CoAs1-xSbx, Acta Chemica Scandinavica, A38, 687–691 (1984)."
Qingsongite,B₁.₁ N.₉,"Dobrzhinetskaya L. F., Wirth R., Yang J., Green H. W., Hutcheon I. D., Weber P. K., Grew E. S., Qingsongite, natural cubic boron nitride: The first boron mineral from the Earth's mantle, American Mineralogist, 99, 764–772 (2014)."
Mcalpineite,Te Cu₃ O₆,"Carbone C., Basso R., Cabella R., Martinelli A., Grice J. D., Lucchetti G., Mcalpineite from the Gambatesa mine, Italy, and redefinition of the species, American Mineralogist, 98, 1899–1905 (2013)."
Tapiolite-(Fe),Fe (Nb.₂ Ta₁.₈) O₆,"von Heidenstam. O., Neutron and X-ray diffraction studies on tapiolite and some synthetic substances of trirutile structure Note: Crystal A Note: Stalex diffractometer, Arkiv for Kemi, 28, 375–387 (1968)."
Hatchite,(Pb Tl) Ag As₂ S₅,"Marumo F., Nowacki W., The crystal structure of hatchite, PbTlAgAs2S5, Zeitschrift fur Kristallographie, 125, 249–265 (1967)."
Barringerite,Fe₆ P₃,"Hendricks S. B., Kosting P. R., The crystal structure of Fe2P, Fe2N, Fe3N and FeB, Zeitschrift fur Kristallographie, 74, 511–533 (1930)."
Kawazulite,Bi₂ (Te₂ Se),"Nakajima S., The crystal structure of Bi2Te3-xSex, Journal of Physics and Chemistry of Solids, 24, 479–485 (1963)."
Sursassite,Mn₂ Al₃ Si₃ O₁₄ H₃,"Nagashima M., Akasaka M., Minakawa T., Libowitzky E., Armbruster T., Sursassite: hydrogen bonding, cation order, and pumpellyite intergrowth Sample Number: 1, American Mineralogist, 94, 1440–1449 (2009)."
Romeite,(Ca Na) Sb₂ O₇ H,"Zedlitz O., Die kristallstruktur von romeit und schneebergit, Zeitschrift fur Kristallographie, 81, 253–263 (1932)."
Uranmicrolite,Ta₂ U O₇,"Gasperin M., Contribution a l'etude de quelques oxydes doubles que forme le tantale avec l'etain, l'uranium et le calcium. _cod_database_code 1001776, Bulletin de la Societe Francaise de Mineralogie et de Cristallographie, 83, 1–21 (1960)."
Maghemite,Fe₂.₆₆₇ O₄,"Pecharroman C., Gonzalez-Carreno T., Iglesias J. E., The infrared dielectric properties of maghemite, gamma-Fe2O3, from reflectance measurement on pressed powders Sample: a) idealized, Physics and Chemistry of Minerals, 22, 21–29 (1995)."
Melanostibite,Mn (Fe.₅ Sb.₅) O₃,"Moore P. B., Substitutions of the type (Sb0.5Fe0.5)-(Ti): The crystal structure of melanostibite, American Mineralogist, 53, 1104–1109 (1968)."
Bideauxite,Pb₂ Ag Cl₃ O (F H),"Cooper M. A., Hawthorne F. C., Merlino S., Pasero M., Perchiazzi N., Stereoactive lone-pair behavior of Pb in the crystal structure of bideauxite: Pb2AgCl3F(OH) Sample: CH, The Canadian Mineralogist, 37, 915–921 (1999)."
Skinnerite,Sb₂ Cu₆ S₆,"Makovicky E., Balic-Zunic T., The crystal structure of skinnerite, P2_1/c-Cu3SbS3, from powder data, The Canadian Mineralogist, 33, 655–663 (1995)."
Weishanite,(Au.₇₅ Hg.₂₅),"Rolfe C., Hume-Rothery W., The constitution of alloys of gold and mercury, Journal of the Less-Common Metals, 13, 1–10 (1967)."
Rambergite,(Mn.₉₅ Fe.₀₅) S,"Eriksson L., Kalinowski M. P., Mn1-xFexS, x=0.05, an example of an anti-wurtzite structure, Acta Crystallographica, Section E, 57, i92–i93 (2001)."
Sanmartinite,(Cu.₄₅ Zn.₅₅) W O₄,"Redfern S. A. T., Bell A. M. T., Henderson M. B., Schofield P. F., Rietveld study of the structural phase transition in the sanmartinite (ZnWO4)- cuproscheelite (CuWO4) solid solution Sample: x=0.55, European Journal of Mineralogy, 7, 1019–1028 (1995)."
Rosasite,Cu₁.₂ Zn.₈ C O₅ H₂,"Perchiazzi N., Crystal structure determination and Rietveld refinement of rosasite and mcguinnessite, Zeitschrift fur Kristallographie Supplement, 23, 505–510 (2006)."
Petalite-beta,Li₃ Al₃ Si₁₂ O₃₀,"Ross N. L., Zhao J., Slebodnick C., Spencer E. C., Chakoumakos B. C., Petalite under pressure: Elastic behavior and phase stability Note: P = 2.71 GPa, American Mineralogist, 100, 714–721 (2015)."
Virgilite,Li.₃₃₃ (Al.₃₃₃ Si.₆₆₇) O₂,"Li C. T., The crystal structure of LiAlSi2O6 III (high-quartz solid solution), Zeitschrift fur Kristallographie, 127, 327–348 (1968)."
Merrihueite,K₂ Mg₅ Si₁₂ O₃₀,"Khan A. A., Baur W. H., Forbes W. C., Synthetic magnesian merrihueite, dipotassium pentamagnesium dodecasilicate: a tetrahedral magnesiosilicate framework crystal structure, Acta Crystallographica, Section B, 28, 267–272 (1972)."
