Mineral_name,Formula,Reference
Copper,Cu,"Suh, I.-K.., Ohta, H.., Waseda, Y.., High-temperature thermal expansion of six metallic elements measured by dilatation method and X-ray diffraction Sample: at T = 293 K, Journal of Materials Science, 23, 757–760 (1988)."
Germanium,Ge,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York, Crystal Structures, 1, 7–83 (1963)."
Gold,Au,"Suh, I.-K.., Ohta, H.., Waseda, Y.., High-temperature thermal expansion of six metallic elements measured by dilatation method and X-ray diffraction Sample: at T = 293 K, Journal of Materials Science, 23, 757–760 (1988)."
Graphite 2H,C,"Hassel, O., Ueber die Kristallstruktur des Graphits, Zeitschrift fuer Physik, 25, 317–337 (1924)."
,C,"Yamanaka, T.., Morimoto, S.., Isotope effect on anharmonic thermal atomic vibration and \k refinement of ^12^C and ^3^C diamond, Acta Crystallographica Section B, 52, 232–238 (1996)."
Iron,Fe,"Owen, E. A., Williams, G. I., A low-temperature X-ray camera, Journal of Scientific Instruments, 31, 49–54 (1954)."
Lead,Pb,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Cubic closest packed, ccp, structure, Crystal Structures, 1, 7–83 (1963)."
,Li Nb O₃,"Hsu, R.., Maslen, E.. N.., du Boulay,. D.., Ishizawa, N.., Synchrotron X-ray Studies of LiNbO~3~ and LiTaO~3~, Acta Crystallographica Section B, 53, 420–428 (1997)."
Magnesium,Mg,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
,Li Nb O₃,"Hsu, R.., Maslen, E.. N.., du Boulay,. D.., Ishizawa, N.., Synchrotron X-ray Studies of LiNbO~3~ and LiTaO~3~, Acta Crystallographica Section B, 53, 420–428 (1997)."
,Li Nb O₃,"Hsu, R.., Maslen, E.. N.., du Boulay,. D.., Ishizawa, N.., Synchrotron X-ray Studies of LiNbO~3~ and LiTaO~3~, Acta Crystallographica Section B, 53, 420–428 (1997)."
Molybdenum,Mo,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Body centered cubic, bcc, structure, Crystal Structures, 1, 7–83 (1963)."
Neodymium,Nd,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Nickel,Ni,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Cubic closest packed, ccp, structure, Crystal Structures, 1, 7–83 (1963)."
Niobium,Nb,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Body centered cubic, bcc, structure, Crystal Structures, 1, 7–83 (1963)."
Palladium,Pd,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Cubic closest packed, ccp, structure, Crystal Structures, 1, 7–83 (1963)."
Paratellurite,O₂ Te,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York, Crystal Structures, 1, 239–444 (1963)."
Periclase,Mg O,"Hazen, R.. M.., , American Mineralogist, 61, 266–271 (1976)."
Platinum,Pt,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Cubic closest packed, ccp, structure, Crystal Structures, 1, 7–83 (1963)."
Rhenium,Re,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Ruthenium,Ru,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Silicon,Si,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Sample at T = 300 K, Crystal Structures, 1, 7–83 (1963)."
Silver,Ag,"Suh, I.-K.., Ohta, H.., Waseda, Y.., High-temperature thermal expansion of six metallic elements measured by dilatation method and X-ray diffraction Sample: at T = 293 K, Journal of Materials Science, 23, 757–760 (1988)."
Vanadium,V,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Body centered cubic, bcc, structure, Crystal Structures, 1, 7–83 (1963)."
Tungsten,W,"Dubrovinsky, L.. S.., Saxena, S.. K.., Thermal expansion of periclase (MgO) and tungsten (W) to melting temperatures Sample: T = 298 K, Physics and Chemistry of Minerals, 24, 547–550 (1997)."
Sodium,Na,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Sample at T = 293 K Body centered cubic, bcc, structure, Crystal Structures, 1, 7–83 (1963)."
,As Ga O₄,"Philippot, E., Armand, P., Yot, P., Cambon, O., Goiffon, A., McIntyre, G. J., Bordet, P., Neutron and x-ray structure refinements between 15 and 1083 K of piezoelectric gallium arsenate, Ga As O4: temperature and pressure behavior compared with other $-alpha-quartz materials, Journal of Solid State Chemistry, 146, 114–123 (1999)."
Zinc,Zn,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
,Al N,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Note: wurtzite structure, Crystal Structures, 1, 85–237 (1963)."
Sphalerite,S Zn,"Jumpertz, E.. A.., Electron-density distribution in zinc blende, Zeitschrift f\""ur Elektrochemie und angewandte physikalische Chemie, 59, 419–425 (1955)."
,Al N,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Note: wurtzite structure, Crystal Structures, 1, 85–237 (1963)."
,Al N,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Note: wurtzite structure, Crystal Structures, 1, 85–237 (1963)."
,Al N,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Note: wurtzite structure, Crystal Structures, 1, 85–237 (1963)."
Qingsongite,B N,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Note: ZnS structure, sphalerite structure, Crystal Structures, 1, 85–237 (1963)."
Graphite,C,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York, Crystal Structures, 1, 7–83 (1963)."
Qingsongite,B N,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Note: ZnS structure, sphalerite structure, Crystal Structures, 1, 85–237 (1963)."
Qingsongite,B N,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Note: ZnS structure, sphalerite structure, Crystal Structures, 1, 85–237 (1963)."
Uraninite,O₂ U,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Fluorite structure, Crystal Structures, 1, 239–444 (1963)."
Beryllium,Be,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Cadmium,Cd,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Magnesium,Mg,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Hafnium,Hf,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Cobalt,Co,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Rhenium,Re,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Titanium,Ti,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Ruthenium,Ru,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Zirconium,Zr,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Zinc,Zn,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
,Y,"Spedding, F.. H.., Daane, A.. H.., Herrmann, K.. W.., The crystal structures and lattice parameters of high-purity scandium, yttrium and the rare earth metals Locality: synthetic Note: sample 99.4% pure, Acta Crystallographica, 9, 559–563 (1956)."
,N₂ O₆ Sr,"Nowotny, H.., Heger, G.., , Acta Crystallographica, Section C, 39, 952–956 (1983)."
,Br Na,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York rocksalt structure, Crystal Structures, 1, 85–237 (1963)."
Halite,Cl Na,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York rocksalt structure, Crystal Structures, 1, 85–237 (1963)."
Corundum,Al₂ O₃,"Newnham, R.. E.., de Haan,. Y.. M.., Refinement of the alpha Al2O3, Ti2O3, V2O3 and Cr2O3 structures, Zeitschrift fur Kristallographie, 117, 235–237 (1962)."
Griceite,F Li,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York rocksalt structure, Crystal Structures, 1, 85–237 (1963)."
,N₂ O₆ Sr,"Nowotny, H.., Heger, G.., , Acta Crystallographica, Section C, 39, 952–956 (1983)."
,N₂ O₆ Pb,"Wyckoff, R.. W.. G.., Crystal structure of lead(II) nitrate, Crystals structures, Vol. II, ,  (1951)."
Nitrobarite,Ba N₂ O₆,"Nowotny, H.., Heger, G.., , Acta Crystallographica, Section C, 39, 952–956 (1983)."
Sphalerite,S Zn,"Skinner, B.. J.., Unit-cell edges of natural and synthetic sphalerites, American Mineralogist, 46, 1399–1411 (1961)."
Fluorite,Ca F₂,"Cheetham, A. K., Fender, B. E. F., Cooper, M. J., Defect structure of calcium fluoride containing excess anions: I. Bragg scattering, Journal of Physics C, 4, 3107–3121 (1971)."
Galena,Pb S,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York rocksalt structure, Crystal Structures, 1, 85–237 (1963)."
,C,"Yamanaka, T.., Morimoto, S.., Isotope effect on anharmonic thermal atomic vibration and \k refinement of ^12^C and ^3^C diamond, Acta Crystallographica Section B, 52, 232–238 (1996)."
Nitratine,N Na O₃,"Paul, G.. L.., Pryor, A.. W.., The study of sodium nitrate by neutron diffraction Sample: T = 20 C, Acta Crystallographica, Section B, 28, 2700–2702 (1972)."
Periclase,Mg O,"Hazen, R.. M.., , American Mineralogist, 61, 266–271 (1976)."
calcite,C Ca O₃,"Maslen, E.. N.., Streltsov, V.. A.., Streltsova, N.. R.., X-ray study of the electron density in calcite, CaCo~3~, Acta Crystallographica Section B, 49, 636–641 (1993)."
Corundum,Al₂ O₃,"Newnham, R.. E.., de Haan,. Y.. M.., Refinement of the alpha Al2O3, Ti2O3, V2O3 and Cr2O3 structures, Zeitschrift fur Kristallographie, 117, 235–237 (1962)."
Sulphur,S₈,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York, Crystal Structures, 1, 7–83 (1963)."
Celestine,O₄ S Sr,"Garske, D.., Peacor, D.. R.., Refinement of the structure of celestite SrSO4, Zeitschrift fur Kristallographie, 121, 204–210 (1965)."
Magnetite,Fe₃ O₄,"Bosi, F.., Halenius, U.., Skogby, H.., Crystal chemistry of the magnetite-ulvospinel series Note: Mgt100, American Mineralogist, 94, 181–189 (2009)."
Galena,Pb S,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York rocksalt structure, Crystal Structures, 1, 85–237 (1963)."
Nitrobarite,Ba N₂ O₆,"Nowotny, H.., Heger, G.., , Acta Crystallographica, Section C, 39, 952–956 (1983)."
Pyrite,Fe S₂,"Brostigen, G., Kjekshus, A., Redetermined crystal structure of Fe S2 (pyrite), Acta Chemica Scandinavica (1-27,1973-42,1988), 23, 2186–2188 (1969)."
Magnetite,Fe₃ O₄,"Bosi, F.., Halenius, U.., Skogby, H.., Crystal chemistry of the magnetite-ulvospinel series Note: Mgt100, American Mineralogist, 94, 181–189 (2009)."
Pyrite,Fe S₂,"Brostigen, G., Kjekshus, A., Redetermined crystal structure of Fe S2 (pyrite), Acta Chemica Scandinavica (1-27,1973-42,1988), 23, 2186–2188 (1969)."
Pyrite,Fe S₂,"Brostigen, G., Kjekshus, A., Redetermined crystal structure of Fe S2 (pyrite), Acta Chemica Scandinavica (1-27,1973-42,1988), 23, 2186–2188 (1969)."
Pyrite,Fe S₂,"Brostigen, G., Kjekshus, A., Redetermined crystal structure of Fe S2 (pyrite), Acta Chemica Scandinavica (1-27,1973-42,1988), 23, 2186–2188 (1969)."
Corundum,Al₂ O₃,"Lutterotti, L., Scardi, P., Simultaneous structure and size-strain refinement by the Rietveld method, Journal of Applied Crystallography, 23, 246–252 (1990)."
Corundum,Al₂ O₃,"Lutterotti, L., Scardi, P., Simultaneous structure and size-strain refinement by the Rietveld method, Journal of Applied Crystallography, 23, 246–252 (1990)."
Corundum,Al₂ O₃,"Lutterotti, L., Scardi, P., Simultaneous structure and size-strain refinement by the Rietveld method, Journal of Applied Crystallography, 23, 246–252 (1990)."
Corundum,Al₂ O₃,"Lutterotti, L., Scardi, P., Simultaneous structure and size-strain refinement by the Rietveld method, Journal of Applied Crystallography, 23, 246–252 (1990)."
Corundum,Al₂ O₃,"Lutterotti, L., Scardi, P., Simultaneous structure and size-strain refinement by the Rietveld method, Journal of Applied Crystallography, 23, 246–252 (1990)."
,Al La O₃,"Hayward, S.A.., Morrison, F.D.., Redfern, S.A.T.., Salje, E.K.H.., Scott, J.F.., Knight, K.S.., Tarantino, S.., Glazer, A.M.., Shuvaeva, V.., Daniel, P.., Zhang, M.., Carpenter, M.A.., Transformation processes in LaAlO3: neutron diffraction, dielectric, thermal, optical and Raman studies, Physical Review B, 72,  (2005)."
Corundum,Al₂ O₃,"Lutterotti, L., Scardi, P., Simultaneous structure and size-strain refinement by the Rietveld method, Journal of Applied Crystallography, 23, 246–252 (1990)."
Corundum,Al₂ O₃,"Lutterotti, L., Scardi, P., Simultaneous structure and size-strain refinement by the Rietveld method, Journal of Applied Crystallography, 23, 246–252 (1990)."
,C,"Yamanaka, T.., Morimoto, S.., Isotope effect on anharmonic thermal atomic vibration and \k refinement of ^12^C and ^3^C diamond, Acta Crystallographica Section B, 52, 232–238 (1996)."
,C,"Yamanaka, T.., Morimoto, S.., Isotope effect on anharmonic thermal atomic vibration and \k refinement of ^12^C and ^3^C diamond, Acta Crystallographica Section B, 52, 232–238 (1996)."
,Fe Se,"Haegg, G., Kindstroem, A. L., Roentgenuntersuchungen am System Eisen - Selen., Zeitschrift fuer Physikalische Chemie, Abteilung B: Chemie der Elementarprozesse, Aufbau der Materie, 22, 453–464 (1933)."
,Ga Se,"Cenzual, K.., Gelato, L.M.., Penzo, M.., Parthe, E.., Inorganic structure types with revised space groups.I., Acta Crystallographica B, 47, 433–439 (1991)."
,Ag Ga S₂,"Brandt, G.., Rauber, A.., Schneider, J.., , Solid State Communications, 12, 481–483 (1973)."
Tausonite,O₃ Sr Ti,"Mitchell, R.. H.., Chakhmouradian, A.. R.., Woodward, P.. M.., Crystal chemistry of perovskite-type compounds in the tausonite-loparite series, (Sr1-2xNaxLax)TiO3 Sample: x = 0.00, Physics and Chemistry of Minerals, 27, 583–589 (2000)."
,B P,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Note: ZnS structure, sphalerite structure, Crystal Structures, 1, 85–237 (1963)."
Chromium,Cr,"Swanson, H. E., Gilfrich, N. T., Ugrinic, G. M., Standard X-ray diffraction powder patterns, National Bureau of Standards (U.S.), Circular, 539, 5–5 (1955)."
