Mineral_name,Formula,Reference
Daqingshanite-(Ce),Sr₃ Ce P C₃ O₁₃,"Hughes J. M., Yunxiang N., A high-precision crystal structure refinement of daqingshanite-(Ce) from Nkombwa Hill carbonatite, Zambia, Mineralogical Magazine, 58, 493–496 (1994)."
Kamchatkite,K Cu₃ S₂ O₉ Cl,"Varaksina T. V., Fundamensky V. S., Filatov S. K., Vergasova L. P., The crystal structure of kamchatkite, a new naturally occuring oxychloride sulphate of potassium and copper, Mineralogical Magazine, 54, 613–616 (1990)."
Winstanleyite,Ti Te₃ O₈,"Bindi L., Cipriani C., The crystal structure of winstanleyite, TiTe3O8, from the Grand Central Mine, Tombstone, Arizona, The Canadian Mineralogist, 41, 1469–1473 (2003)."
Groatite,Na Ca Mn₂ P₃ O₁₂ H₂,"Cooper M. A., Hawthorne F. C., Ball N. A., Ramik R. A., Roberts A. C., Groatite, NaCaMn2(PO4)[PO3(OH)]2, a new mineral species of the alluaudite group from the Tanco Pegmatite, Bernic Lake, Manitoba, Canada: Description and crystal structure, The Canadian Mineralogist, 47, 1225–1235 (2009)."
Lautarite,Ca I₂ O₆,"Ghose S., Wan C., The crystal structure of synthetic lautarite, Ca(IO3)2 Note: Biso(O1) corrected, Acta Crystallographica, Section B, 34, 84–88 (1978)."
Liversidgeite,Zn₆ P₄ O₂₃ H₁₄,"Elliott P., Giester G., Libowitzky E., Kolitsch U., Description and crystal structure of liversidgeite, Zn6(PO4)4*7H2O, a new mineral from Broken Hill, New South Wales, Australia, American Mineralogist, 95, 397–404 (2010)."
Spurrite,Ca₅ Si₂ C O₁₁,"Grice J. D., The structure of spurrite, tilleyite and scawtite, and relationships to other silicate-carbonate minerals, The Canadian Mineralogist, 43, 1489–1500 (2005)."
Spryite,Ag₂₄ As₂ Ge S₁₈,"Bindi L., Morana M., Twinning, superstructure and chemical ordering in spryite, Ag8(As3+0.50As5+0.50)S6, at ultra-low temperature: An X-ray single-crystal study Note: T = 30 K, Minerals, 11,  (2021)."
Minnesotaite,Fe₁₅ H₁₄ O₆₂ Si₂₀,"Jin S., Li X., Hobbs F., Guggenheim S., Xu H., Meifuite, a new ferrous phyllosilicate mineral with modulated tetrahedral sheets similar to minnesotaite, Clays and Clay Minerals, 69, 672–687 (2021)."
Cinnabar,Hg S,"Ramsdell L. S., The crystal structures of some metallic sulfides, American Mineralogist, 10, 281–304 (1925)."
Katoptrite,Mn₁₃ Sb₂ Al₄ Si₂ O₂₈,"Moore P. B., Araki T., Brunton G. D., Catoptrite, (Mn2+5Sb5+2)VI(Mn2+8Al4Si2)IVO28, a novel close-packed oxide sheet structure, Neues Jahrbuch fur Mineralogie, Abhandlungen, 127, 47–61 (1976)."
Carminite,Pb As₂ Fe₂ O₁₀ H₂,"Finney J. J., The crystal structure of carminite, American Mineralogist, 48, 1–13 (1963)."
Calcite,Ca C O₃,"Graf D. L., Crystallographic tables for the rhombohedral carbonates, American Mineralogist, 46, 1283–1316 (1961)."
Edenharterite,Pb Tl As₃ S₆,"Balic-Zunic T., Engel P., Crystal structure of synthetic PbTlAs3S6, Zeitschrift fur Kristallographie, 165, 261–269 (1983)."
Manganolangbeinite,K₂ Mn₂ S₃ O₁₂,"Oelkrug H., Bruckel T., Hohlwein D., Hoser A., Prandl W., The magnetic structure of the langbeinite K2Mn2(SO4)3, Physics and Chemistry of Minerals, 16, 246–249 (1988)."
Serrabrancaite,Mn P O₅ H₂,"Lightfoot P., Cheetham A. K., Sleight A. W., Structure of MnPO4*H2O by synchrotron X-ray powder diffraction, Inorganic Chemistry, 26, 3544–3547 (1987)."
Fluocerite-(Sm),Sm F₃,"Oftedal I., Ueber die Kristallstruktur von Tysonit und einigen kuenstlich dargestellten Lanthanidenfluoriden _cod_database_code 1010986, Zeitschrift fur Physikalische Chemie, 5, 272–292 (1929)."
Vonbezingite,Cu₃ Ca₆ S₃ O₂₆,"Dai Y. S., Harlow G. E., Description and crystal structure of vonbezingite, a new Ca-Cu-SO4-H2O mineral from the Kalahari manganese field, South Africa, American Mineralogist, 77, 1292–1300 (1992)."
Lukechangite-(Ce),Na₃ Ce₂ C₄ O₁₂ F,"Grice J. D., Chao G. Y., Lukechangite-(Ce), a new rare-earth-fluorocarbonate mineral from Mont Saint-Hilaire, Quebec Note: U(1,2) for Na1, O1, O2 and F changed to match symmetry constraints. Note: U(2,3) for O2 changed to match symmetry constraints., American Mineralogist, 82, 1255–1260 (1997)."
Tuhualite,Fe₂ Si₆ O₁₅ Na,"Merlino S., Tuhualite crystal structure Note: Position of H2O not determined in paper, Science, 166, 1399–1401 (1969)."
Fibroferrite,Fe S O₁₀ H₁₁,"Ventruti G., Ventura G. D., Bellatreccia F., Lacalamita M., Schingaro E., Hydrogen bond system and vibrational spectroscopy of the iron sulfate fibroferrite, Fe(OH)SO4*5H2O, European Journal of Mineralogy, 28, 943–952 (2016)."
Osbornite,Ti N,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York rocksalt structure, Crystal Structures, 1, 85–237 (1963)."
Bismutite,Bi₂ C O₅,"Grice J. D., A solution to the crystal structures of bismutite and beyerite, The Canadian Mineralogist, 40, 693–698 (2002)."
Marokite,Ca Mn₂ O₄,"Zouari S., Ranno L., Cheikh-Rouhou A., Isnard O., Pernet M., Wolfers P., Strobel P., New model for the magnetic structure of the marokite-type oxide CaMn2O4 Sample: T = 280 K, Journal of Alloys and Compounds, 353, 5–11 (2003)."
Carnotite,K U V O₆,"Sundberg I., Sillen L. G., On the crystal structure of KUO2VO4 (synthetic anhydrous carnotite), Arkiv for Kemi, 1, 337–351 (1949)."
Rorisite,Ca Cl F,"Liebich W., Nicollin D., Refinement of the PbFCl types BaFI, BaFBr and CaFCl Note: matlockite structure, Acta Crystallographica, Section B, 33, 2790–2794 (1977)."
Borcarite,Ca₄ Mg B₄ C₂ O₁₈ H₆,"Burns P. C., Hawthorne F. C., Hydrogen bonding in borcarite, an unusual borate-carbonate mineral, Mineralogical Magazine, 59, 297–304 (1995)."
Bournonite,Pb Sb Cu S₃,"Edenharter A., Nowacki W., Takeuchi Y., Verfeinerung der kristallstruktur von bournonit [SbS3)2|Cu(IV)2PB(VII)Pb(VIII)] und von seligmannit [(AsS3)2)|Cu(IV)2Pb(VII)PB(VIII)], Zeitschrift fur Kristallographie, 131, 397–417 (1970)."
Mopungite,Na Sb (O₆ H₆),"Schrewelius N., Rontgenuntersuchung der verbindungen NaSb(OH)6, NaSbF6, NaSbO3 und gleichartiger stoffe, Zeitschrift fur Anorganische und Allgemeine Chemie, 238, 241–254 (1938)."
Colquiriite,Ca Li Al F₆,"Bolotina N. B., Maksimov B. A., Simonov V. I., Derzhavin S. I., Uvarova T. V., Apollonov V. V., Atomic structure and spectral properties of LiCaAlF6:Cr3+ single crystals, Crystallography Reports, 38, 446–450 (1993)."
Margarosanite,Pb Ca₂ Si₃ O₉,"Freed R. L., Peacor D. R., Determination and refinement of the crystal structure of margarosanite, PbCa2Si3O9, Zeitschrift fur Kristallographie, 128, 213–228 (1969)."
Eglestonite,Hg₆ Cl₃ O₂,"Mereiter K., Zemann J., Hewat A. W., Eglestonite, [Hg2]3Cl3O2H: Confirmation of the chemical formula by neutron powder diffraction sample SX examined by single-crystal X-ray diffraction, American Mineralogist, 77, 839–842 (1992)."
Varennesite,Na₈ Mn₂ Si₁₀ O₃₉ H₂,"Grice J. D., Gault R. A., Varennesite, a new species of hydrated Na-Mn silicate with a unique monophyllosilicate structure, The Canadian Mineralogist, 33, 1073–1081 (1995)."
Akermanite,Mg Ca₂ Si₂ O₇,"Merlini M., Gemmi M., Hanfland M., Crichton W., High-pressure behavior of akermanite and gehlenite and phase stability of the normal structures in melelites Note: P = 5 GPa, American Mineralogist, 94, 704–709 (2009)."
Grechishchevite,Hg₆ S₄ Br₂ Cl I,"Pervukhina N. V., Vasil'ev V. I., Borisov S. V., Magarill S. A., Naumov D. Y., The crystal structure of a polymorph of Hg3S2Br1Cl.5I.5, The Canadian Mineralogist, 41, 1445–1453 (2003)."
Beyerite,Bi₂ Ca C₂ O₈,"Grice J. D., A solution to the crystal structures of bismutite and beyerite, The Canadian Mineralogist, 40, 693–698 (2002)."
Hollingworthite,Pd As S,"Foecker A. J., Jeitschko W., The atomic order of the pnictogen and chalcogen atoms in equiatomic ternary compounds TPnCh (T = Ni, Pd; Pn = P, As, Sb; Ch = S, Se, Te), Journal of Solid State Chemistry, 162, 69–78 (2001)."
Raguinite,Tl Fe S₂,"Welz D., Deppe P., Schaefer W., Sabrowsky H., Rosenberg M., Magnetism of iron-sulfur tetrahedral frameworks in compounds with thallium I. Chain structures, Journal of Physics and Chemistry of Solids, 50, 297–308 (1989)."
Troilite,Fe S,"Skala R., Cisarova I., Drabek M., Inversion twinning in troilite Sample: Etter, American Mineralogist, 91, 917–921 (2006)."
Tarapacaite,K₂ Cr O₄,"McGinnety J. A., Redetermination of the structures of potassium sulphate and potassium chromate: the effect of electrostatic crystal forces upon observed bond length, Acta Crystallographica, Section B, 28, 2845–2852 (1972)."
Bandylite,Cu B O₄ Cl H₄,"Li Y., Burns P. C., Refinement of the structure of bandylite, The Canadian Mineralogist, 38, 713–715 (2000)."
Vladimirite,Ca₄ As₃ O₁₆ H₉,"Yang H., Evans S. H., Downs R. T., Jenkins R. A., The crystal structure of vladimirite, with a revised chemical formula, Ca4(AsO4)2(AsO3OH)*4H2O Note: Sample R080001, The Canadian Mineralogist, 49, 1055–1064 (2011)."
Dysprosium,Dy,"Spedding F. H., Daane A. H., Herrmann K. W., The crystal structures and lattice parameters of high-purity scandium, yttrium and the rare earth metals Note: sample 99.8% pure, Acta Crystallographica, 9, 559–563 (1956)."
Realgar,As S,"Kyono A., Kimata M., Hatta T., Light-induced degradation dynamics in realgar: in situ structural investigation using single crystal X-ray diffraction and X-ray photoelectron spectroscopy Sample: Getchell mine, Nevada; t = 0 hours Note: space group corrected, American Mineralogist, 90, 1563–1570 (2005)."
Ludlockite,Pb Fe₄ As₁₀ O₂₂,"Cooper M. A., Hawthorne F. C., The crystal structure of ludlockite, PbFe4As10O22, the mineral with pentameric arsenite groups and orange hair, The Canadian Mineralogist, 34, 79–89 (1996)."
Bindheimite,Pb₂ Sb₂ O₇,"Natta G., Baccaredda M., Tetrossido di antimonio e antimoniati, Zeitschrift fur Kristallographie, 85, 271–296 (1933)."
Lanthanum,La,"Spedding F. H., Daane A. H., Herrmann K. W., The crystal structures and lattice parameters of high-purity scandium, yttrium and the rare earth metals Note: sample 99.8% pure, Acta Crystallographica, 9, 559–563 (1956)."
Neodymium,Nd,"Spedding F. H., Daane A. H., Herrmann K. W., The crystal structures and lattice parameters of high-purity scandium, yttrium and the rare earth metals Note: sample 99.8% pure, Acta Crystallographica, 9, 559–563 (1956)."
Okayamalite,Ca₂ Si B₂ O₇,"Giuli G., Bindi L., Bonazzi P., Rietveld refinement of okayamalite, Ca2SiB2O7: Structural evidence for the B/Si ordered distribution, American Mineralogist, 85, 1512–1515 (2000)."
Merwinite,Ca₃ Mg Si₂ O₈,"Moore P. B., Araki T., Atomic arrangement of merwinite, Ca3Mg[SiO4]2, an unusual dense-packed structure of geophysical interest, American Mineralogist, 57, 1355–1374 (1972)."
Leadhillite,Pb₄ S C₂ O₁₂ H₂,"Bindi L., Menchetti S., Structural changes accompanying the phase transformation between leadhillite and susannite: a structural study by means of in situ high-temperature single- crystal X-ray diffraction Sample: Chah Mileh Mine, Anarak District, Esfahan Province, Iran Sample: T = 25 C, American Mineralogist, 90, 1641–1647 (2005)."
Kukharenkoite-(La),Ba₂ La F C₃ O₉,"Krivovichev S. V., Armbruster T., Pekov I. V., Cation frameworks in structure of natural fluocarbonates of barium and rare-earth elements: crystal structure of kukharenkoite-(La), Ba2(La,Ce)(CO3)3F, Zapiski Vserossijskogo Mineralogicheskogo Obshchestva, 132N3, 65–72 (2003)."
Lanarkite,Pb₂ S O₅,"Sahl K., Zur kristallstruktur von lanarkit, Pb2O(SO4), Zeitschrift fur Kristallographie, 132, 99–117 (1970)."
Roaldite,Fe₄ N,"Bayliss P., Revised unit cell dimensions, space group, and chemical formula of some metallic minerals Note: Fe and N positions switched to match formula Note: cell edge taken from Handbook of Mineralogy, The Canadian Mineralogist, 28, 751–755 (1990)."
Hafnium,Hf,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Geigerite,As₄ Mn₅ O₂₆ H₂₂,"Graeser S., Schwander H., Bianchi R., Pilati T., Gramaccioli C. M., Geigerite, the Mn analogue of chudobaite: Its description and crystal structure, American Mineralogist, 74, 676–684 (1989)."
Paratellurite,Te O₂,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York, Crystal Structures, 1, 239–444 (1963)."
Tungsten,W,"Dubrovinsky L. S., Saxena S. K., Thermal expansion of periclase (MgO) and tungsten (W) to melting temperatures Sample: T = 298 K, Physics and Chemistry of Minerals, 24, 547–550 (1997)."
Niobocarbide,Nb C,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York rocksalt structure, Crystal Structures, 1, 85–237 (1963)."
Ferro-hornblende,Na Ca₂ Fe₅ Si₈ O₂₄ H₂,"Guha R., Nag D. K., Iyengar S. V. P., Structure of an amphibole from Simlipal granite, India, Indian Minerals, 41, 32–41 (1987)."
Guyanaite,Cr O₂ H,"Jahn S., Wunder B., Koch-Muller M., Tarrieu L., Pohle M., Watenphul A., Taran M. N., Pressure-induced hydrogen bond symmetrisation in guyanaite, B-CrOOH: evidence from spectroscopy and ab initio simulations Sample: Run LT9, European Journal of Mineralogy, 24, 839–850 (2012)."
Berthierite,Fe Sb₂ S₄,"Buerger M. J., The crystal structure of berthierite, American Mineralogist, 21, 205–206 (1936)."
Seifertite,Si O₂,"Dera P., Prewitt C. T., Boctor N. Z., Hemley R. J., Characterization of a high-pressure phase of silica from the Martian meteorite Shergotty alpha-PbO2-like, American Mineralogist, 87, 1018–1023 (2002)."
Strontium-III,Sr,"Winzenick M., Holzapfel W. B., Structural study on the high-pressure phase strontium III Sample: at P = 31.3 GPa, Physical Review, B53, 2151–2154 (1996)."
Adamite,As Zn₂ O₅ H,"Hill R. J., The crystal structure and infrared properties of adamite, American Mineralogist, 61, 979–986 (1976)."
Shannonite,Pb₂ C O₄,"Krivovichev S. V., Burns P. C., Crystal chemistry of basic lead carbonates. I. Crystal structure of synthetic shannonite, Pb2O(CO3), Mineralogical Magazine, 64, 1063–1068 (2000)."
Stilleite,Zn Se,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Note: ZnS structure, sphalerite structure, Crystal Structures, 1, 85–237 (1963)."
Raadeite,Mg₇ P₂ O₁₆ H₈,"Chopin C., Ferraris G., Prencipe M., Brunet F., Medenbach O., Raadeite, Mg7(PO4)2(OH)8: a new dense-packed phosphate from Modum (Norway), European Journal of Mineralogy, 13, 319–327 (2001)."
Xenotime-(Yb),Yb P O₄,"Ni Y., Hughes J. M., Mariano A. N., Crystal chemistry of the monazite and xenotime structures, American Mineralogist, 80, 21–26 (1995)."
Cadmoselite,Cd Se,"Freeman D. K., Mair S. L., Barnea Z., The structure and Bijvoet ratios of cadmium selenide, Acta Crystallographica, Section A, 33, 355–359 (1977)."
Lazulite,Mg Al₂ P₂ O₁₀ H₂,"Lindberg M. L., Christ C. L., Crystal structures of the isostructural minerals lazulite, scorzalite and barbosalite, Acta Crystallographica, 12, 695–697 (1959)."
Breyite,Ca Si O₃,"Brenker F. E., Nestola F., Brenker L., Peruzzo L., Harris J. W., Origin, properties, and structure of breyite: The second most abundant mineral inclusion in super-deep diamonds, American Mineralogist, 106, 38–43 (2021)."
Carnallite,K Mg Cl₃ O₆ H₁₂,"Schlemper E. O., Sen Gupta. P. K., Zoltai T., Refinement of the structure of carnallite, Mg(H2O)6KCl3, American Mineralogist, 70, 1309–1313 (1985)."
Simonellite,C₁₉,"Foresti E., Riva di. Sanseverino. L., The X-ray crystal and molecular structure of an organic mineral: simonellite, C19H24, Atti della Accademia Nazionale dei Lincei, 47, 41–54 (1969)."
Imgreite,Ni Te,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Note: ideal nickel arsenide structure, Crystal Structures, 1, 85–237 (1963)."
Sylvite,K Cl,"Walker D., Verma P. K., Cranswick L. M. D., Jones R. L., Clark S. M., Buhre S., Halite-sylvite thermoelasticity Sample: msl515031, T = 25 C, P = 0.0 kbar, cell volume = 248.61 ang**3, American Mineralogist, 89, 204–210 (2004)."
Orpiment,As₂ S₃,"Mullen D. J. E., Nowacki W., Refinement of the crystal structures of realgar, AsS and orpiment, As2S3, Zeitschrift fur Kristallographie, 136, 48–65 (1972)."
Groutite,Mn (O₂ H),"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York, Crystal Structures, 1, 290–295 (1963)."
Thorium,Th,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Cubic closest packed, ccp, structure, Crystal Structures, 1, 7–83 (1963)."
Stishovite,Si O₂,"Ross N. L., Shu J. F., Hazen R. M., Gasparik T., High-pressure crystal chemistry of stishovite P = 0, but in the diamond cell, American Mineralogist, 75, 739–747 (1990)."
Clinosafflorite,Co As₂,"Kjekshus A., On the properties of binary compounds with the CoSb2 type crystal structure, Acta Chemica Scandinavica, 25, 411–422 (1971)."
Ytterbium,Yb,"Spedding F. H., Daane A. H., Herrmann K. W., The crystal structures and lattice parameters of high-purity scandium, yttrium and the rare earth metals Note: sample 99.9% pure, Acta Crystallographica, 9, 559–563 (1956)."
Burnsite,K Cd Cu₇ Se₂ O₈ Cl₉,"Burns P. C., Krivovichev S. V., Filatov S. K., New Cu coordination polyhedra in the crystal structure of burnsite, KCdCu7O2(SeO3)2Cl9, The Canadian Mineralogist, 40, 1587–1595 (2002)."
Waimirite-(Y),Y F₃,"Cheetham A. K., Norman N., The structures of yttrium and bismuth trifluorides by neutron diffraction, Acta Chemica Scandinavica, A28, 55–60 (1974)."
Arsenolamprite,As,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York, Crystal Structures, 1, 239–444 (1963)."
Paakkonenite,Sb₂ As S₂,"Bonazzi P., Borrini D., Mazzi F., Olmi F., Crystal structure and twinning of Sb2AsS2, the synthetic analogue of paakkonenite, American Mineralogist, 80, 1054–1058 (1995)."
Liberite,Li₂ Be Si O₄,"Han-ching C., The crystal structure of liberite, Kexue Tongbao, 17, 425–428 (1966)."
Vaterite,Ca C O₃,"Wang J., Becker U., Structure and carbonate orientation of vaterite (CaCO3) Note: Coordinates corrected by Wang, Sept, 2009, American Mineralogist, 94, 380–386 (2009)."
Metahewettite,V₃ Na O₈,"Bachmann H. G., Barnes W. H., The crystal structure of a sodium-calcium variety of metahewettite Sample: anhydrous, The Canadian Mineralogist, 7, 219–235 (1962)."
Fergusonite-beta-(Y),Y Nb O₄,"Weitzel H., Schrocke H., Kristallstrukturverfeinerungen von euxenit, Y(Nb0.5Ti0.5)2O6, und M-fergusonit, YNbO4, Zeitschrift fur Kristallographie, 152, 69–82 (1980)."
Radtkeite,Hg₃ S₂ I Cl,"Pervukhina N. V., Vasil'ev V. I., Naumov D. Y., Borisov S. V., Magarill S. A., The crystal structure of synthetic radtkeite, Hg3S2ClI, The Canadian Mineralogist, 42, 87–94 (2004)."
Saltonseaite,K₃ Na Mn Cl₆,"Kampf A. R., Mills S. J., Nestola F., Ciriotti M. E., Kasatkin A. V., Saltonseaite, K3NaMn2+Cl6, the Mn analogue of rinneite from the Salton Sea, California, American Mineralogist, 98, 231–235 (2012)."
Helmutwinklerite,Pb Zn₂ As₂ (O₁₀ H₂),"Krause W., Belendorff K., Bernhardt H. J., McCammon C. A., Effenberger H., Mikenda W., Crystal chemistry of the tsumcorite-group minerals. New data on ferrilotharmeyerite, tsumcorite, thometzekite, mounanaite, helmutwinklerite, and a redefinition of gartrellite, European Journal of Mineralogy, 10, 179–206 (1998)."
Borax,Na₂ B₄ O₁₇ H₂₀,"Levy H. A., Lisensky G. C., Crystal structures of sodium sulfate decahydrate (Glauber's salt) and sodium tetraborate decahydrate (borax). Redetermination by neutron diffraction Note: anisoU's from ICSD, Acta Crystallographica, Section B, 34, 3502–3510 (1978)."
Tantalcarbide,Ta C,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York rocksalt structure, Crystal Structures, 1, 85–237 (1963)."
Eriochalcite,Cu O₂ Cl₂,"Harker D., The Crystal Structure of Cupric Chloride Dihydrate Cu Cl2 (H2 O)2 _cod_database_code 1011014, Zeitschrift fur Kristallographie, 93, 136–145 (1936)."
Junitoite,Ca Zn₂ Si₂ O₈ H₂,"Yang H., Jenkins N. G., Downs R. T., Redetermination of junitoite, CaZn2Si2O7*H2O, Acta Crystallographica, Section E, 68, i73–i73 (2012)."
Isomertieite,Pd₅ As Sb,"Shi N., Ma Z., Zhang N., Ding X., Crystal structure of isomertieite (fengluanite), Kexue Tongbao, 23, 499–501 (1978)."
Vismirnovite,Zn Sn (O₆ H₆),"Cohen-Addad C., Etude des hydroxystannates CaSn(OH)6 et ZnSn(OH)6 par diffraction des rayons X et resonance magnetique nucleaire, Bulletin de la Societe Francaise de Mineralogie et de Cristallographie, 90, 32–35 (1967)."
Baricite,Mg₃ P₂ O₁₆,"Takagi S., Mathew M., Brown W. E., Crystal structures of bobierrite and synthetic Mg3(PO4)2.8H2O, American Mineralogist, 71, 1229–1233 (1986)."
Carraraite,Ca₃ Ge O₂₆ S₂ C₂ H₃₀,"Merlino S., Orlandi P., Carraraite and zaccagnaite, two new minerals from the Carrara marble quarries: their chemical compositions, physical properties and structural features, American Mineralogist, 86, 1293–1301 (2001)."
Swartzite,Ca Mg U C₃ O₂₃ H₂₄,"Mereiter K., Synthetic swartzite, CaMg[UO2(CO3)3]*12H2O, and its strontium analogue, SrMg[UO2(CO3)3]*12H2O: Crystallography and crystal structures, Neues Jahrbuch fur Mineralogie, Monatshefte, 1986, 481–492 (1986)."
Murashkoite,Fe P,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York, Crystal Structures, 1, 85–237 (1963)."
Koritnigite,Zn As O₅,"Keller P., Hess H., Riffel H., Die kristallstruktur von koritnigit, Zn[H2O|HOAsO3], Neues Jahrbuch fur Mineralogie, Abhandlungen, 138, 316–332 (1980)."
Rruffite,Ca₂ Cu As₂ O₁₀ H₄,"Yang H., Jenkins R. A., Downs R. T., Evans S. H., Tait K. T., Rruffite, Ca2Cu(AsO4)2*2H2O, a new member of the roselite group, from Tierra Amarilla, Chile, The Canadian Mineralogist, 49, 877–884 (2011)."
Lindsleyite,Ba Mn₃ Ti₁₈ O₃₈,"Peterson R. C., Grey I. E., Preparation and structure refinement of synthetic Ti-containing lindsleyite, BaMn3Ti18O38, The Canadian Mineralogist, 33, 1083–1089 (1995)."
Gerhardtite,Cu₂ O₆ N H₃,"Bovio B., Locchi S., Crystal structure of the orthorhombic basic copper nitrate, Cu2(OH)3NO3, Journal of Crystallographic and Spectroscopic Research, 12, 507–517 (1982)."
Ganomalite,Pb₉ Ca₅ Mn Si₉ O₃₃,"Dunn P. J., Peacor D. R., Valley J. W., Randall C. A., Ganomalite from Franklin, New Jersey, and Jakobsberg, Sweden: New chemical and crystallographic data Note: structure from ICSD, Mineralogical Magazine, 49, 579–582 (1985)."
Tolovkite,Ir Sb S,"Bayliss P., Crystal chemistry and crystallography of some minerals within the pyrite group, American Mineralogist, 74, 1168–1176 (1989)."
Georgiadesite,Pb₄ As Cl₄ O₄ H,"Pasero M., Vacchiano D., Crystal structure and revision of the chemical formula of georgiadesite, Pb4(AsO3)Cl4(OH), Mineralogical Magazine, 64, 879–884 (2000)."
Uklonskovite,Na Mg S O₆ F H₄,"Sabelli C., Uklonskovite, NaMg(SO4)F*2H2O: new mineralogical data and structure refinement, Bulletin de Mineralogie, 108, 133–138 (1985)."
Willemite,Zn₂ Si O₄,"Marumo F., Syono Y., The crystal structure of Zn2SiO4-II, a high-pressure phase of willemite, Acta Crystallographica, Section B, 27, 1868–1870 (1971)."
Calcio-olivine,Ca₂ Si O₄,"Udagawa S., Urabe K., Natsume M., Yano T., Refinement of the crystal structure of gamma-Ca2SiO4, Cement and Concrete Research, 10, 139–144 (1980)."
Gilmarite,Cu₃ As O₇ H₃,"Sarp H., Cerny R., Gilmarite, Cu3(AsO4)(OH)3, a new mineral: its description and crystal structure, European Journal of Mineralogy, 11, 549–555 (1999)."
Burangaite,Na Al₅ Fe P₄ H₁₀ O₂₄,"Selway J. B., Cooper M. A., Hawthorne F. C., Refinement of the crystal structure of burangaite, The Canadian Mineralogist, 35, 1515–1522 (1997)."
Foordite,Sn Nb₂ O₆,"Ercit T. S., Cerny P., The crystal structure of foordite, The Canadian Mineralogist, 26, 899–903 (1988)."
Xenotime-(Ho),Ho P O₄,"Ni Y., Hughes J. M., Mariano A. N., Crystal chemistry of the monazite and xenotime structures, American Mineralogist, 80, 21–26 (1995)."
